Sno,Train Ratio,Test_Size,Train Shape,Test_shape,Accuracy Score
1,10.0%,90.0%,"(17, 13)","(161, 13)",0.8695652173913043
2,20.0%,80.0%,"(35, 13)","(143, 13)",0.8671328671328671
3,30.0%,70.0%,"(53, 13)","(125, 13)",0.88
4,40.0%,60.0%,"(71, 13)","(107, 13)",0.8785046728971962
5,50.0%,50.0%,"(89, 13)","(89, 13)",0.8764044943820225
6,60.0%,40.0%,"(106, 13)","(72, 13)",0.875
7,70.0%,30.0%,"(124, 13)","(54, 13)",0.9074074074074074
8,80.0%,20.0%,"(142, 13)","(36, 13)",0.9166666666666666
9,90.0%,10.0%,"(160, 13)","(18, 13)",0.8333333333333334
